Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
77	-46.875	12.103073	0.0	-50.0	50.0	-20.256231	11.720586	8.794518	-40.512333	312000	-1.66893e-08	13.438277	-0.00712539	-10.112378	0.3588693	0.015881753	0.2355	3.0	795.5358853340149
78	-46.875	12.103073	0.0	-50.0	50.0	-20.194628	12.021927	10.977577	-40.092648	316000	2.4318695e-08	12.96993	-0.031776685	-10.4378605	0.36604682	0.014198229	0.19325	79.0	805.2264893054962
79	-48.75	7.8062477	0.0	-50.0	50.0	-21.123144	11.370979	1.2248147	-40.316986	320000	3.8146974e-09	6.2990603	-0.020931022	-4.0391474	0.35468164	0.015069163	0.154	21.0	814.8652353286743
80	-43.75	16.535946	0.0	-50.0	50.0	-19.905657	11.664893	7.7593274	-40.06837	324000	9.775162e-09	53.572235	-0.013809937	-46.74875	0.39691985	0.01697039	0.166	11.0	824.7669680118561
81	-48.75	7.8062477	0.0	-50.0	50.0	-20.983732	11.75618	16.002228	-40.255356	328000	3.6239623e-08	7.4320087	-0.03233478	-5.6419816	0.3592262	0.008950944	0.19525	79.0	834.8974614143372
82	-45.0	15.0	0.0	-50.0	50.0	-20.582392	11.889085	8.2403555	-40.149166	332000	2.002716e-08	29.337313	-0.028598756	-24.848423	0.34088898	0.015118498	0.19175	51.0	844.9327099323273
83	-45.0	15.0	0.0	-50.0	50.0	-19.845013	11.701203	5.1830544	-40.050503	336000	9.298325e-09	21.10189	-0.031580012	-17.43713	0.32230747	0.015013299	0.18025	63.0	854.68718791008
84	-44.375	15.799031	0.0	-50.0	50.0	-19.489101	11.810221	6.692979	-39.99155	340000	-9.059906e-09	42.82236	-0.032248158	-36.894554	0.28452754	0.012236715	0.21825	79.0	864.3962259292603
85	-46.25	13.169567	0.0	-50.0	50.0	-19.854805	12.198664	8.8348255	-40.140972	344000	-1.859665e-08	18.9438	-0.0068101822	-14.623196	0.2798139	0.012957442	0.1805	3.0	873.8664860725403
86	-46.875	12.103073	0.0	-50.0	50.0	-19.984297	11.936808	5.8030477	-40.18172	348000	2.3841858e-08	17.119741	-0.0068299635	-12.001587	0.28572172	0.00901791	0.11325	4.0	883.4790358543396
87	-46.875	12.103073	0.0	-50.0	50.0	-20.677156	11.747051	5.736316	-40.355938	352000	8.5830685e-09	11.330771	-0.008113057	-8.833527	0.2511127	0.016553616	0.207	5.0	892.791332244873
88	-46.25	13.169567	0.0	-50.0	50.0	-20.215488	11.967265	13.516621	-40.047676	356000	2.4318695e-08	11.915883	-0.031696033	-9.425822	0.287029	0.015505174	0.1895	74.0	902.6329429149628
89	-48.125	9.499178	0.0	-50.0	50.0	-20.341307	11.836989	6.4136252	-40.204628	360000	1.4305114e-08	15.210242	-0.029225612	-11.910088	0.23138352	0.006379489	0.175	79.0	912.7318751811981
90	-48.75	7.8062477	0.0	-50.0	50.0	-20.867027	11.533671	12.421772	-40.06384	364000	2.002716e-08	8.965905	-0.03289261	-7.2866645	0.24447373	0.00972434	0.192	79.0	923.2000601291656
91	-46.875	12.103073	0.0	-50.0	50.0	-20.338982	11.980755	13.919112	-40.031303	368000	1.8119811e-08	10.922623	-0.01615958	-8.362931	0.27275962	0.016499368	0.182	13.0	932.7349510192871
92	-48.75	7.8062477	0.0	-50.0	50.0	-21.307144	11.720615	10.1704235	-39.918926	372000	-1.1444092e-08	2.637872	-0.028919494	-1.1656761	0.22585312	0.014282299	0.172	66.0	942.6912550926208
93	-47.5	10.897247	0.0	-50.0	50.0	-21.02981	11.578727	3.3454576	-40.139816	376000	-4.2915342e-09	13.519434	-0.009913653	-11.076502	0.22810267	0.012696703	0.169	5.0	952.3977520465851
94	-42.5	17.85357	0.0	-50.0	50.0	-18.18336	13.094051	17.562876	-40.09379	380000	-6.198883e-09	13.339971	-0.013371915	-9.626788	0.19805548	0.014276978	0.15475	12.0	962.1470794677734
95	-46.25	13.169567	0.0	-50.0	50.0	-20.435785	11.755929	8.67087	-40.003864	384000	2.193451e-08	10.29919	-0.0066513023	-8.537956	0.15945424	0.011613402	0.1175	3.0	971.8192262649536
96	-47.5	10.897247	0.0	-50.0	50.0	-19.829834	12.206622	6.3592415	-40.18578	388000	-3.9339067e-08	18.709707	-0.030525925	-16.218462	0.19661464	0.009081318	0.18275	79.0	981.873827457428
97	-49.375	5.5551214	0.0	-50.0	50.0	-21.657429	11.101854	0.8316053	-39.931362	392000	9.536744e-10	2.4625814	-0.005163665	-1.1988763	0.2030754	0.016162185	0.1755	2.0	991.5473396778107
98	-43.75	16.535946	0.0	-50.0	50.0	-19.721144	12.210766	17.52199	-40.46231	396000	-1.8537044e-08	25.694551	-0.03271565	-22.427711	0.23043177	0.014954554	0.2085	74.0	1001.3891980648041
99	-45.0	15.0	0.0	-50.0	50.0	-20.005894	11.899462	10.6153755	-40.07969	400000	3.242493e-08	20.247746	-0.03277544	-16.06428	0.14141649	0.014803667	0.213	73.0	1011.7853934764862
